time 	 generated degree 	 dcx value
0	15	1.41616e-70
1	59	6.99116e-73
2	43	2.27826e-72
3	15	1.41616e-70
4	44	2.08739e-72
5	38	3.65878e-72
6	84	2.0505e-73
7	69	3.99385e-73
8	38	3.65878e-72
9	70	3.79786e-73
10	16	1.09568e-70
11	8	1.73607e-69
12	24	2.19983e-71
13	51	1.19665e-72
14	21	3.72711e-71
15	31	8.05952e-72
16	64	5.21273e-73
17	90	1.64424e-73
18	61	6.19482e-73
19	62	5.8418e-73
20	30	9.1605e-72
21	70	3.79786e-73
22	7	2.9594e-69
23	52	1.11311e-72
24	82	2.21887e-73
25	66	4.67164e-73
26	25	1.87308e-71
27	82	2.21887e-73
28	81	2.31061e-73
29	5	1.1355e-68
30	65	4.93217e-73
31	85	1.9732e-73
32	8	1.73607e-69
33	75	2.99306e-73
34	12	3.44323e-70
35	17	8.61184e-71
36	2	4.43081e-67
37	58	7.44079e-73
38	7	2.9594e-69
39	58	7.44079e-73
40	57	7.92962e-73
41	53	1.03704e-72
42	48	1.50193e-72
43	34	5.62552e-72
44	64	5.21273e-73
45	84	2.0505e-73
46	30	9.1605e-72
47	18	6.86396e-71
48	8	1.73607e-69
49	80	2.40788e-73
50	39	3.31073e-72
51	81	2.31061e-73
52	90	1.64424e-73
53	20	4.52088e-71
54	17	8.61184e-71
55	90	1.64424e-73
56	53	1.03704e-72
57	40	3.00398e-72
58	31	8.05952e-72
59	85	1.9732e-73
60	6	5.47903e-69
61	29	1.04594e-71
62	59	6.99116e-73
63	75	2.99306e-73
64	37	4.05507e-72
65	50	1.28858e-72
66	71	3.61483e-73
67	82	2.21887e-73
68	23	2.60185e-71
69	14	1.86349e-70
70	68	4.20395e-73
71	89	1.70317e-73
72	36	4.50791e-72
73	25	1.87308e-71
74	26	1.60528e-71
75	41	2.73277e-72
76	38	3.65878e-72
77	16	1.09568e-70
78	29	1.04594e-71
79	45	1.91666e-72
80	36	4.50791e-72
81	2	4.43081e-67
82	37	4.05507e-72
83	74	3.13366e-73
84	87	1.83086e-73
85	6	5.47903e-69
86	1	7.08821e-66
87	55	9.04236e-73
88	22	3.10105e-71
89	52	1.11311e-72
90	52	1.11311e-72
91	19	5.53946e-71
92	78	2.6207e-73
93	61	6.19482e-73
94	30	9.1605e-72
95	73	3.28363e-73
96	33	6.31738e-72
97	27	1.38409e-71
98	71	3.61483e-73
99	63	5.51523e-73
100	47	1.62594e-72
101	51	1.19665e-72
102	36	4.50791e-72
103	88	1.7653e-73
104	76	2.86112e-73
105	54	9.67647e-73
106	78	2.6207e-73
107	60	6.57695e-73
108	35	5.02733e-72
109	15	1.41616e-70
110	63	5.51523e-73
111	7	2.9594e-69
112	1	7.08821e-66
113	48	1.50193e-72
114	8	1.73607e-69
115	22	3.10105e-71
116	31	8.05952e-72
117	23	2.60185e-71
118	58	7.44079e-73
119	57	7.92962e-73
120	31	8.05952e-72
121	88	1.7653e-73
122	41	2.73277e-72
123	49	1.38994e-72
124	29	1.04594e-71
125	8	1.73607e-69
126	19	5.53946e-71
127	53	1.03704e-72
128	30	9.1605e-72
129	69	3.99385e-73
130	8	1.73607e-69
131	70	3.79786e-73
132	68	4.20395e-73
133	45	1.91666e-72
134	55	9.04236e-73
135	36	4.50791e-72
136	73	3.28363e-73
137	73	3.28363e-73
138	57	7.92962e-73
139	72	3.44373e-73
140	20	4.52088e-71
141	69	3.99385e-73
142	16	1.09568e-70
143	14	1.86349e-70
144	13	2.50305e-70
145	60	6.57695e-73
146	34	5.62552e-72
147	69	3.99385e-73
148	65	4.93217e-73
149	34	5.62552e-72
150	43	2.27826e-72
151	8	1.73607e-69
152	84	2.0505e-73
153	60	6.57695e-73
154	89	1.70317e-73
155	32	7.12118e-72
156	44	2.08739e-72
157	88	1.7653e-73
158	28	1.20006e-71
159	46	1.76357e-72
160	62	5.8418e-73
161	17	8.61184e-71
162	27	1.38409e-71
163	56	8.46188e-73
164	45	1.91666e-72
165	21	3.72711e-71
166	50	1.28858e-72
167	63	5.51523e-73
168	50	1.28858e-72
169	5	1.1355e-68
170	28	1.20006e-71
171	65	4.93217e-73
172	24	2.19983e-71
173	52	1.11311e-72
174	26	1.60528e-71
175	40	3.00398e-72
176	74	3.13366e-73
177	55	9.04236e-73
178	38	3.65878e-72
179	54	9.67647e-73
180	63	5.51523e-73
181	2	4.43081e-67
182	62	5.8418e-73
183	65	4.93217e-73
184	63	5.51523e-73
185	61	6.19482e-73
186	2	4.43081e-67
187	85	1.9732e-73
188	77	2.7372e-73
189	75	2.99306e-73
190	38	3.65878e-72
191	1	7.08821e-66
192	65	4.93217e-73
193	89	1.70317e-73
194	82	2.21887e-73
195	89	1.70317e-73
196	30	9.1605e-72
197	54	9.67647e-73
198	47	1.62594e-72
199	89	1.70317e-73
200	34	5.62552e-72
201	32	7.12118e-72
202	12	3.44323e-70
203	13	2.50305e-70
204	47	1.62594e-72
205	34	5.62552e-72
206	79	2.51109e-73
207	74	3.13366e-73
208	25	1.87308e-71
209	36	4.50791e-72
210	66	4.67164e-73
211	48	1.50193e-72
212	63	5.51523e-73
213	74	3.13366e-73
214	26	1.60528e-71
215	35	5.02733e-72
216	34	5.62552e-72
217	8	1.73607e-69
218	30	9.1605e-72
219	63	5.51523e-73
